,Subject,Block,Pre,Post
1829,DA,43,0.4375,0.6041666666666666
1830,JN,43,0.5,0.5
1831,JN,43,0.4375,0.5625
1832,JN,43,0.6875,0.5625
1833,JN,43,0.4375,0.4583333333333333
1834,JN,43,0.5,0.5
1835,JN,43,0.5,0.5208333333333334
1836,JS,43,0.3125,0.5208333333333334
1837,JS,43,0.5,0.4583333333333333
1838,JS,43,0.5,0.4791666666666667
1839,JS,43,0.6875,0.4375
1840,JS,43,0.4375,0.4791666666666667
1841,JS,43,0.5,0.4791666666666667
1842,SK,43,0.3125,0.5416666666666666
1843,SK,43,0.4375,0.6041666666666666
1844,SK,43,0.4375,0.5625
1845,SK,43,0.375,0.5208333333333334
1846,SK,43,0.6875,0.4791666666666667
1847,SK,43,0.5,0.4791666666666667
1848,AC,44,0.5,0.4583333333333333
1849,AC,44,0.375,0.5208333333333334
1850,AC,44,0.25,0.4791666666666667
1851,AC,44,0.4375,0.5
1852,AC,44,0.5,0.4791666666666667
1853,AC,44,0.5,0.5
1854,CD,44,0.4375,0.4583333333333333
1855,CD,44,0.5,0.4375
1856,CD,44,0.5,0.4791666666666667
1857,CD,44,0.4375,0.4791666666666667
1858,CD,44,0.5,0.5833333333333334
1859,CD,44,0.5,0.4583333333333333
1860,CG,44,0.4375,0.5208333333333334
1861,CG,44,0.375,0.5208333333333334
1862,CG,44,0.5625,0.4375
1863,CG,44,0.5,0.5208333333333334
1864,CG,44,0.5,0.4583333333333333
1865,CG,44,0.4375,0.5208333333333334
1866,DA,44,0.5,0.5208333333333334
1867,DA,44,0.5,0.5208333333333334
1868,DA,44,0.4375,0.4583333333333333
1869,DA,44,0.4375,0.4583333333333333
1870,DA,44,0.625,0.5625
1871,DA,44,0.4375,0.375
1872,JN,44,0.5,0.4166666666666667
1873,JN,44,0.5,0.4375
1874,JN,44,0.375,0.4791666666666667
1875,JN,44,0.5,0.4791666666666667
1876,JN,44,0.25,0.3958333333333333
1877,JN,44,0.625,0.5208333333333334
1878,JS,44,0.375,0.4583333333333333
1879,JS,44,0.6875,0.4791666666666667
1880,JS,44,0.4375,0.5
1881,JS,44,0.5,0.4166666666666667
1882,JS,44,0.5625,0.4791666666666667
1883,JS,44,0.375,0.5
1884,SK,44,0.4375,0.5
1885,SK,44,0.4375,0.4791666666666667
1886,SK,44,0.5625,0.4375
1887,SK,44,0.5,0.3333333333333333
1888,SK,44,0.5625,0.4791666666666667
1889,SK,44,0.375,0.5416666666666666
1890,AC,45,0.5625,0.4375
1891,AC,45,0.5625,0.4583333333333333
